檔案名稱,編號,漢字,拼音,詞性,英文定義
B1-L08.pptx,I-3,跟,gēn,Prep,with
B1-L08.pptx,I-4,玩,wán,V,to have fun
B1-L08.pptx,I-5,怎麼,zěnme,Adv,how
B1-L08.pptx,I-6,慢,màn,Vs,slow
B1-L08.pptx,I-7,鐘頭,zhōngtóu,N,hour
B1-L08.pptx,I-8,比較,bǐjiào,Adv,more
B1-L08.pptx,I-9,快,kuài,Vs,fast
B1-L08.pptx,I-10,車票,chē	piào,N,"(train, bus) ticket"
B1-L08.pptx,I-11,非常,fēicháng,Adv,very
B1-L08.pptx,I-12,但是,dànshì,Conj,"but, however"
B1-L08.pptx,I-13,又,yòu,Adv,both…and…
B1-L08.pptx,I-14,舒服,shūfú,Vs,comfortable
B1-L08.pptx,I-15,站,zhàn,N,station
B1-L08.pptx,I-16,或是,huòshì,Conj,or
B1-L08.pptx,I-17,臺南,Táinán,,a city in southwestern Taiwan
B1-L08.pptx,I-18,高鐵,Gāotiě,HSR,High Speed Rail
B1-L08.pptx,I-19,網路上,wǎnglùs	hàng,,on the Internet
B1-L08.pptx,I-20,便利商店,biànlìshāngdiàn,,convenient store
B1-L08.pptx,II-1,同學,tóngxué,N,classmate
B1-L08.pptx,II-2,參觀,cānguān,V,to visit (an institution)
B1-L08.pptx,II-3,古代,gǔdài,N,ancient times
B1-L08.pptx,II-4,騎,qí,V,to ride
B1-L08.pptx,II-5,機車,jīchē,N,"motorcycle, scooter"
B1-L08.pptx,II-6,載,zài,V,"to give someone a ride (on/ in a ve-; hicle, e.g. motorcycle, bicycle or car)"
B1-L08.pptx,II-7,捷運,jiéyùn,N,Mass Rapid Transit
B1-L08.pptx,II-8,比,bǐ,Prep,(more…) than
B1-L08.pptx,II-9,故宮博物院,GùgōngBówùyuàn,,National Palace Museum; 故宮博物院（故宮）
B1-L08.pptx,II-10,中國,Zhōngguó,,China
B1-L08.pptx,II-11,公共汽車,gōnggòng qìchē,,公共汽車（公車）; bus
B1-L08.pptx,II-12,不行,bù	xíng,,will not do
B1-L08.pptx,II-13,計程車,jìchéngchē,,taxi
B1-L08.pptx,II-14,差不多,chābùduō,,about the same
B1-L09.pptx,I-1,星期,xīngqí,N,星期＋ number; week
B1-L09.pptx,I-2,回國,huíguó,,(V-sep) to return to one’s country
B1-L09.pptx,I-3,打算,dǎsuàn,Vaux,to plan to
B1-L09.pptx,I-4,電視,diànshì,N,TV
B1-L09.pptx,I-5,影片,yǐngpiàn,N,film
B1-L09.pptx,I-6,旅行,lǚxíng,Vi,to travel
B1-L09.pptx,I-7,功課,gōngkè,N,homework
B1-L09.pptx,I-8,出去,chūqù,Vi,to go out
